identifier	lang_code	language	n_transcribed	dom_script	ipa_density	ipa_char_ratio	nonascii_ratio	americanist_ratio	transcription_system
rosettaproject_kgf_swadesh-1	kgf	Kube	201	Latin	0.07	0.019	0.046	0.0	light_ipa
rosettaproject_kgg_swadesh-1	kgg	Kusunda	494	Latin	0.476	0.122	0.166	0.007	ipa_dense
rosettaproject_kgl_swadesh-1	kgl	Kunggari	246	Latin	0.142	0.03	0.098	0.0	light_ipa
rosettaproject_kgo_swadesh-1	kgo	Krongo	644	Latin	0.689	0.216	0.543	0.001	ipa_dense
rosettaproject_kgq_swadesh-1	kgq	Kamoro	250	Latin	0.008	0.002	0.005	0.0	plain_ascii
rosettaproject_kgr_swadesh-1	kgr	Abun	525	Latin	0.07	0.019	0.045	0.008	light_ipa
rosettaproject_kgs_swadesh-1	kgs	Kumbainggar	329	Latin	0.638	0.146	0.203	0.0	ipa_dense
rosettaproject_kgu_swadesh-1	kgu	Kobol	170	Latin	0.0	0.0	0.026	0.0	latin_diacritic
rosettaproject_kgv_swadesh-1	kgv	Karas	158	Latin	0.0	0.0	0.007	0.0	plain_ascii
rosettaproject_kgw_swadesh-1	kgw	Karon Dori	113	Latin	0.115	0.029	0.055	0.004	light_ipa
rosettaproject_khe_swadesh-1	khe	Korowai	194	Latin	0.0	0.0	0.082	0.0	latin_diacritic
rosettaproject_kib_swadesh-1	kib	Koalib	309	Latin	0.443	0.152	0.509	0.01	ipa_dense
rosettaproject_kie_swadesh-1	kie	Kibet	172	Latin	0.622	0.189	0.364	0.013	ipa_dense
rosettaproject_kig_swadesh-1	kig	Kimaghima	458	Latin	0.155	0.038	0.094	0.023	light_ipa
rosettaproject_kih_swadesh-1	kih	Kilmeri	8	Latin	0.0	0.0	0.032	0.0	latin_diacritic
rosettaproject_kij_swadesh-1	kij	Kilivila	181	Latin	0.127	0.023	0.045	0.0	light_ipa
rosettaproject_kiq_swadesh-1	kiq	Kosare	172	Latin	0.326	0.109	0.207	0.001	ipa_dense
rosettaproject_kit_swadesh-1	kit	Agob	998	Latin	0.015	0.003	0.015	0.005	latin_diacritic
rosettaproject_kiw_swadesh-1	kiw	Kiwai, Northeast	713	Latin	0.271	0.093	0.183	0.0	ipa_dense
rosettaproject_kiy_swadesh-1	kiy	Kirikiri	389	Latin	0.195	0.055	0.062	0.0	light_ipa
rosettaproject_kja_swadesh-1	kja	Mlap	168	Latin	0.036	0.008	0.062	0.0	latin_diacritic
rosettaproject_kjc_swadesh-1	kjc	Konjo, Coastal	183	Latin	0.29	0.057	0.14	0.014	ipa_dense
rosettaproject_kjd_swadesh-1	kjd	Kiwai, Southern	930	Latin	0.057	0.011	0.012	0.001	light_ipa
rosettaproject_kjg_swadesh-1	kjg	Khmu	176	Latin	0.58	0.194	0.234	0.006	ipa_dense
rosettaproject_kjj_swadesh-1	kjj	Khinalugh	111	Latin	0.252	0.086	0.235	0.033	ipa_dense
rosettaproject_kjs_swadesh-1	kjs	Kewa, East	86	Latin	0.163	0.042	0.045	0.0	light_ipa
rosettaproject_kjx_swadesh-1	kjx	Ramopa	151	Latin	0.397	0.068	0.084	0.0	ipa_dense
rosettaproject_kjy_swadesh-1	kjy	Erave	389	Latin	0.126	0.027	0.058	0.0	light_ipa
rosettaproject_kkb_swadesh-1	kkb	Kwerisa	41	Latin	0.098	0.026	0.031	0.0	light_ipa
rosettaproject_kkc_swadesh-1	kkc	Odoodee	294	Latin	0.439	0.138	0.286	0.0	ipa_dense
rosettaproject_kkl_swadesh-1	kkl	Yale, Kosarek	984	Latin	0.348	0.114	0.138	0.0	ipa_dense
rosettaproject_kky_swadesh-1	kky	Guguyimidjir	459	Latin	0.42	0.1	0.187	0.0	ipa_dense
rosettaproject_kld_swadesh-1	kld	Gamilaraay	272	Latin	0.202	0.042	0.096	0.0	light_ipa
rosettaproject_klm_swadesh-1	klm	Kolom	343	Latin	0.338	0.093	0.159	0.001	ipa_dense
rosettaproject_klp_swadesh-1	klp	Kamasa	99	Latin	0.0	0.0	0.02	0.0	latin_diacritic
rosettaproject_klq_swadesh-1	klq	Rumu	236	Latin	0.021	0.005	0.01	0.0	latin_diacritic
rosettaproject_klt_swadesh-1	klt	Nukna	85	Latin	0.376	0.145	0.183	0.0	ipa_dense
rosettaproject_klz_swadesh-1	klz	Kabola	344	Latin	0.203	0.079	0.12	0.0	light_ipa
rosettaproject_kmf_swadesh-1	kmf	Kare	407	Latin	0.292	0.074	0.113	0.002	ipa_dense
rosettaproject_kmh_swadesh-1	kmh	Kalam	63	Latin	0.46	0.137	0.194	0.0	ipa_dense
rosettaproject_kmk_swadesh-1	kmk	Kalinga, Limos	186	Latin	0.048	0.01	0.138	0.0	latin_diacritic
rosettaproject_kmn_swadesh-1	kmn	Awtuw	389	Latin	0.057	0.014	0.051	0.0	light_ipa
rosettaproject_kmo_swadesh-1	kmo	Kwoma	493	Latin	0.469	0.126	0.161	0.02	ipa_dense
rosettaproject_kmq_swadesh-1	kmq	Kwama	276	Latin	0.601	0.18	0.259	0.045	ipa_dense
rosettaproject_kms_swadesh-1	kms	Kamasau	600	Latin	0.203	0.05	0.086	0.012	light_ipa
rosettaproject_kmt_swadesh-1	kmt	Kemtuik	435	Latin	0.136	0.036	0.08	0.0	light_ipa
rosettaproject_kmu_swadesh-1	kmu	Kanite	9	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_kmx_swadesh-1	kmx	Waboda	356	Latin	0.006	0.001	0.002	0.0	plain_ascii
rosettaproject_knc_swadesh-1	knc	Kanuri, Central	459	Latin	0.359	0.084	0.347	0.026	ipa_dense
rosettaproject_knd_swadesh-1	knd	Konda	172	Latin	0.017	0.003	0.008	0.002	plain_ascii
rosettaproject_knf_swadesh-1	knf	Mankanya	256	Latin	0.816	0.186	0.385	0.026	ipa_dense
rosettaproject_kns_swadesh-1	kns	Kensiu	101	Latin	0.792	0.253	0.28	0.004	ipa_dense
rosettaproject_knv_swadesh-1	knv	Tabo	376	Latin	0.037	0.008	0.015	0.0	latin_diacritic
rosettaproject_knw_swadesh-1	knw	Kung-Ekoka	298	Latin	0.238	0.071	0.315	0.032	light_ipa
rosettaproject_koe_swadesh-1	koe	Kacipo-Balesi	81	Latin	0.21	0.059	0.154	0.066	light_ipa
rosettaproject_kol_swadesh-1	kol	Kol	161	Latin	0.404	0.097	0.143	0.0	ipa_dense
rosettaproject_kop_swadesh-1	kop	Kwato	332	Latin	0.241	0.073	0.091	0.0	light_ipa
rosettaproject_koz_swadesh-1	koz	Korak	351	Latin	0.208	0.052	0.091	0.0	light_ipa
rosettaproject_kpf_swadesh-1	kpf	Komba	237	Latin	0.308	0.099	0.168	0.0	ipa_dense
rosettaproject_kpq_swadesh-1	kpq	Korupun-Sela	54	Latin	0.13	0.026	0.058	0.0	light_ipa
rosettaproject_kpr_swadesh-1	kpr	Korafe-Yegha	219	Latin	0.142	0.034	0.084	0.018	light_ipa
rosettaproject_kps_swadesh-1	kps	Tehit	955	Latin	0.134	0.031	0.088	0.003	light_ipa
rosettaproject_kpu_swadesh-1	kpu	Kafoa	190	Latin	0.342	0.094	0.142	0.0	ipa_dense
rosettaproject_kpw_swadesh-1	kpw	Kobon	465	Latin	0.583	0.185	0.278	0.011	ipa_dense
rosettaproject_kpx_swadesh-1	kpx	Koiali, Mountain	795	Latin	0.038	0.007	0.013	0.002	latin_diacritic
rosettaproject_kqb_swadesh-1	kqb	Kovai	38	Latin	0.132	0.043	0.108	0.0	light_ipa
rosettaproject_kqi_swadesh-1	kqi	Koitabu	770	Latin	0.108	0.022	0.04	0.0	light_ipa
rosettaproject_kqj_swadesh-1	kqj	Koromira	271	Latin	0.107	0.024	0.065	0.0	light_ipa
rosettaproject_krc_swadesh-1	krc	Balkar	205	Latin	0.0	0.0	0.134	0.0	latin_diacritic
rosettaproject_krd_swadesh-1	krd	Kairui-Midiki	1	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_krs_swadesh-1	krs	Gbaya	402	Latin	0.448	0.144	0.363	0.029	ipa_dense
rosettaproject_kru_swadesh-1	kru	Kurux	50	Latin	0.04	0.01	0.261	0.0	latin_diacritic
rosettaproject_ksd_swadesh-1	ksd	Kuanua	183	Latin	0.426	0.124	0.154	0.0	ipa_dense
rosettaproject_ksj_swadesh-1	ksj	Uare	396	Latin	0.389	0.136	0.191	0.012	ipa_dense
rosettaproject_ksr_swadesh-1	ksr	Borong	224	Latin	0.17	0.033	0.075	0.0	light_ipa
rosettaproject_ktb_swadesh-1	ktb	Kambaata	329	Latin	0.271	0.088	0.11	0.012	ipa_dense
rosettaproject_ktg_swadesh-1	ktg	Kalkutung	343	Latin	0.286	0.058	0.141	0.0	ipa_dense
rosettaproject_kto_swadesh-1	kto	Kuot	442	Latin	0.31	0.134	0.14	0.0	ipa_dense
rosettaproject_kue_swadesh-1	kue	Kuman	662	Latin	0.015	0.003	0.039	0.001	latin_diacritic
rosettaproject_kuo_swadesh-1	kuo	Kumukio	51	Latin	0.039	0.009	0.033	0.0	latin_diacritic
rosettaproject_kup_swadesh-1	kup	Kunimaipa	430	Latin	0.042	0.01	0.024	0.003	latin_diacritic
rosettaproject_kux_swadesh-1	kux	Kukatja	17	Latin	0.471	0.123	0.28	0.0	ipa_dense
rosettaproject_kuy_swadesh-1	kuy	Kuuku-Ya'u	61	Latin	0.492	0.124	0.203	0.0	ipa_dense
rosettaproject_kvo_swadesh-1	kvo	Dobel	182	Latin	0.555	0.133	0.145	0.0	ipa_dense
rosettaproject_kwe_swadesh-1	kwe	Kwerba	594	Latin	0.067	0.013	0.048	0.008	light_ipa
rosettaproject_kwl_swadesh-1	kwl	Kofyar	67	Latin	0.224	0.085	0.3	0.0	light_ipa
rosettaproject_kwo_swadesh-1	kwo	Kwomtari	306	Latin	0.448	0.147	0.201	0.0	ipa_dense
rosettaproject_kwt_swadesh-1	kwt	Kwesten	520	Latin	0.002	0.0	0.004	0.0	plain_ascii
rosettaproject_kxc_swadesh-1	kxc	Konso	97	Latin	0.433	0.12	0.202	0.016	ipa_dense
rosettaproject_kxh_swadesh-1	kxh	Karo	54	Latin	0.241	0.075	0.111	0.035	light_ipa
rosettaproject_kxu_swadesh-1	kxu	Kui	74	Latin	0.0	0.0	0.204	0.0	latin_diacritic
rosettaproject_kxv_swadesh-1	kxv	Kuvi	71	Latin	0.099	0.021	0.205	0.0	light_ipa
rosettaproject_kxw_swadesh-1	kxw	Konai	174	Latin	0.362	0.113	0.267	0.0	ipa_dense
rosettaproject_kxz_swadesh-1	kxz	Kerewo	311	Latin	0.08	0.016	0.017	0.0	light_ipa
rosettaproject_kyo_swadesh-1	kyo	Kelon	267	Latin	0.262	0.085	0.167	0.0	ipa_dense
rosettaproject_kyt_swadesh-1	kyt	Kayagar	114	Latin	0.061	0.013	0.018	0.0	light_ipa
rosettaproject_kyx_swadesh-1	kyx	Rapoisi	354	Latin	0.24	0.056	0.071	0.0	light_ipa
rosettaproject_kzf_swadesh-1	kzf	Kaili, Da'a	184	Latin	0.033	0.006	0.066	0.012	americanist
rosettaproject_kzh_swadesh-1	kzh	Kenuzi-Dongola	571	Latin	0.028	0.006	0.042	0.0	latin_diacritic
rosettaproject_kzk_swadesh-1	kzk	Kazukuru	152	Latin	0.0	0.0	0.016	0.0	latin_diacritic
rosettaproject_kzm_swadesh-1	kzm	Kais	255	Latin	0.004	0.001	0.003	0.0	plain_ascii
rosettaproject_kzz_swadesh-1	kzz	Kalabra	159	Latin	0.013	0.003	0.008	0.0	plain_ascii
rosettaproject_laf_swadesh-1	laf	Lafofa	567	Latin	0.765	0.262	0.432	0.008	ipa_dense
rosettaproject_lat_swadesh-1	lat	Latin	181	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_lbe_swadesh-1	lbe	Lak	114	Latin	0.07	0.018	0.136	0.044	light_ipa
rosettaproject_ldm_swadesh-1	ldm	Landoma	151	Latin	0.762	0.177	0.359	0.007	ipa_dense
rosettaproject_lei_swadesh-1	lei	Lemio	328	Latin	0.332	0.1	0.171	0.001	ipa_dense
rosettaproject_lep_swadesh-1	lep	Lepcha	111	Latin	0.568	0.187	0.219	0.0	ipa_dense
rosettaproject_leq_swadesh-1	leq	Lembena	297	Latin	0.438	0.106	0.204	0.003	ipa_dense
rosettaproject_lev_swadesh-1	lev	Lamma	327	Latin	0.196	0.059	0.108	0.0	light_ipa
rosettaproject_lgn_swadesh-1	lgn	Opuuo	239	Latin	0.418	0.125	0.194	0.04	ipa_dense
rosettaproject_lgt_swadesh-1	lgt	Pahi	55	Latin	0.255	0.054	0.066	0.003	ipa_dense
rosettaproject_lid_swadesh-1	lid	Nyindrou	181	Latin	0.326	0.066	0.102	0.0	ipa_dense
rosettaproject_liq_swadesh-1	liq	Libido	81	Latin	0.741	0.18	0.205	0.026	ipa_dense
rosettaproject_liu_swadesh-1	liu	Logorik	173	Latin	0.497	0.132	0.192	0.02	ipa_dense
rosettaproject_liv_swadesh-1	liv	Liv	53	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_lkl_swadesh-1	lkl	Laeko-Libuat	20	Latin	0.2	0.054	0.16	0.0	light_ipa
rosettaproject_lll_swadesh-1	lll	Lilau	107	Latin	0.0	0.0	0.044	0.0	latin_diacritic
rosettaproject_llu_swadesh-1	llu	Lau	178	Latin	0.242	0.057	0.098	0.0	light_ipa
rosettaproject_lml_swadesh-1	lml	Hano	167	Latin	0.335	0.075	0.081	0.0	ipa_dense
rosettaproject_lnj_swadesh-1	lnj	Leningitij	224	Latin	0.375	0.095	0.223	0.0	ipa_dense
rosettaproject_loa_swadesh-1	loa	Loloda	454	Latin	0.271	0.054	0.093	0.016	ipa_dense
rosettaproject_lof_swadesh-1	lof	Logol	283	Latin	0.618	0.227	0.597	0.03	ipa_dense
rosettaproject_lot_swadesh-1	lot	Otuho	10	Latin	0.5	0.192	0.561	0.0	ipa_dense
rosettaproject_lrg_swadesh-1	lrg	Laragia	490	Latin	0.159	0.024	0.049	0.0	light_ipa
rosettaproject_lro_swadesh-1	lro	Laro	181	Latin	0.414	0.159	0.588	0.013	ipa_dense
rosettaproject_ltz_swadesh-1	ltz	Luxembourgeois	101	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_luf_swadesh-1	luf	Laua	93	Latin	0.237	0.043	0.043	0.0	light_ipa
rosettaproject_lun_swadesh-1	lun	Lunda	92	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_luo_swadesh-1	luo	Dholuo	33	Latin	0.121	0.032	0.044	0.013	light_ipa
rosettaproject_lwo_swadesh-1	lwo	Luwo	26	Latin	0.538	0.167	0.316	0.056	ipa_dense
rosettaproject_lww_swadesh-1	lww	Lewo	181	Latin	0.133	0.027	0.046	0.002	light_ipa
rosettaproject_mad_swadesh-1	mad	Madura	185	Latin	0.514	0.123	0.217	0.033	ipa_dense
rosettaproject_mah_swadesh-1	mah	Marshallese	181	Latin	0.409	0.121	0.271	0.0	ipa_dense
rosettaproject_mai_swadesh-1	mai	Maithili	98	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_mal_swadesh-1	mal	Malayalam	97	Latin	0.0	0.0	0.193	0.007	latin_diacritic
rosettaproject_mam_swadesh-1	mam	Mam	143	Latin	0.0	0.0	0.092	0.0	latin_diacritic
rosettaproject_mas_swadesh-1	mas	Maasai	45	Latin	0.133	0.056	0.381	0.0	light_ipa
rosettaproject_mci_swadesh-1	mci	Mesem	245	Latin	0.29	0.096	0.167	0.0	ipa_dense
rosettaproject_mcr_swadesh-1	mcr	Menya	101	Latin	0.0	0.0	0.049	0.0	latin_diacritic
rosettaproject_mcv_swadesh-1	mcv	Minanibai	215	Latin	0.084	0.016	0.022	0.0	light_ipa
rosettaproject_mcz_swadesh-1	mcz	Mawan	363	Latin	0.253	0.08	0.096	0.0	ipa_dense
rosettaproject_mdb_swadesh-1	mdb	Morigi	217	Latin	0.069	0.014	0.014	0.0	light_ipa
rosettaproject_mdc_swadesh-1	mdc	Male	350	Latin	0.24	0.062	0.102	0.003	light_ipa
rosettaproject_mde_swadesh-1	mde	Maba	564	Latin	0.346	0.087	0.232	0.023	ipa_dense
rosettaproject_mdf_swadesh-1	mdf	Moksha	194	Cyrillic	0.0	0.0	1.0	0.0	native:Cyrillic
rosettaproject_mdj_swadesh-1	mdj	Mangbetu	337	Latin	0.593	0.196	0.453	0.003	ipa_dense
rosettaproject_mds_swadesh-1	mds	Maria	1031	Latin	0.312	0.091	0.155	0.0	ipa_dense
rosettaproject_mdx_swadesh-1	mdx	Dizi	101	Latin	0.604	0.166	0.249	0.063	ipa_dense
rosettaproject_mdy_swadesh-1	mdy	Male	99	Latin	0.758	0.192	0.246	0.045	ipa_dense
rosettaproject_meb_swadesh-1	meb	Ikobi-Mena	293	Latin	0.198	0.046	0.077	0.001	light_ipa
rosettaproject_mec_swadesh-1	mec	Mara	583	Latin	0.425	0.072	0.177	0.0	ipa_dense
rosettaproject_med_swadesh-1	med	Melpa	154	Latin	0.039	0.008	0.058	0.019	americanist
rosettaproject_mej_swadesh-1	mej	Meyah	619	Latin	0.092	0.02	0.036	0.0	light_ipa
rosettaproject_mek_swadesh-1	mek	Mekeo	202	Latin	0.144	0.033	0.074	0.0	light_ipa
rosettaproject_mem_swadesh-1	mem	Mangala	28	Latin	0.429	0.084	0.156	0.0	ipa_dense
rosettaproject_mep_swadesh-1	mep	Miriwung	17	Latin	0.412	0.093	0.261	0.0	ipa_dense
rosettaproject_meu_swadesh-1	meu	Motu	182	Latin	0.093	0.019	0.026	0.0	light_ipa
rosettaproject_mfc_swadesh-1	mfc	Mba	227	Latin	0.458	0.151	0.558	0.027	ipa_dense
rosettaproject_mfe_swadesh-1	mfe	Morisyen	96	Latin	0.0	0.0	0.08	0.0	latin_diacritic
rosettaproject_mfr_swadesh-1	mfr	Marithiel	174	Latin	0.299	0.067	0.132	0.0	ipa_dense
rosettaproject_mfv_swadesh-1	mfv	Mandjak	91	Latin	0.813	0.188	0.375	0.035	ipa_dense
rosettaproject_mfw_swadesh-1	mfw	Mulaha	272	Latin	0.022	0.004	0.021	0.0	latin_diacritic
rosettaproject_mfz_swadesh-1	mfz	Mabaan	95	Latin	0.821	0.28	0.402	0.057	ipa_dense
rosettaproject_mgb_swadesh-1	mgb	Mararit	54	Latin	0.352	0.113	0.251	0.03	ipa_dense
rosettaproject_mgf_swadesh-1	mgf	Maklew	393	Latin	0.031	0.007	0.128	0.0	latin_diacritic
rosettaproject_mgk_swadesh-1	mgk	Mawes	229	Latin	0.004	0.001	0.003	0.0	plain_ascii
rosettaproject_mgu_swadesh-1	mgu	Mailu	708	Latin	0.076	0.018	0.018	0.001	light_ipa
rosettaproject_mgx_swadesh-1	mgx	Omati	112	Latin	0.027	0.006	0.011	0.002	latin_diacritic
rosettaproject_mha_swadesh-1	mha	Manda	58	Latin	0.0	0.0	0.203	0.0	latin_diacritic
rosettaproject_mhd_swadesh-1	mhd	Mbugu	242	Latin	0.26	0.072	0.214	0.011	ipa_dense
rosettaproject_mhf_swadesh-1	mhf	Mamaa	52	Latin	0.346	0.103	0.144	0.0	ipa_dense
rosettaproject_mhg_swadesh-1	mhg	Margu	250	Latin	0.424	0.091	0.174	0.0	ipa_dense
rosettaproject_mhl_swadesh-1	mhl	Mauwake	370	Latin	0.316	0.092	0.124	0.0	ipa_dense
rosettaproject_mhs_swadesh-1	mhs	Buru	183	Latin	0.011	0.002	0.013	0.001	latin_diacritic
rosettaproject_mic_swadesh-1	mic	Micmac	169	Latin	0.0	0.0	0.045	0.0	latin_diacritic
rosettaproject_mid_swadesh-1	mid	Mandaic	93	Latin	0.054	0.011	0.236	0.027	light_ipa
rosettaproject_mif_swadesh-1	mif	Mofu-Gudur	51	Latin	0.196	0.061	0.477	0.0	light_ipa
rosettaproject_min_swadesh-1	min	Minangkabau	185	Latin	0.389	0.086	0.153	0.018	ipa_dense
rosettaproject_miw_swadesh-1	miw	Akoye	100	Latin	0.0	0.0	0.043	0.0	latin_diacritic
rosettaproject_mjj_swadesh-1	mjj	Mawak	390	Latin	0.346	0.097	0.143	0.0	ipa_dense
rosettaproject_mjt_swadesh-1	mjt	Sauria Paharia	52	Latin	0.0	0.0	0.141	0.0	latin_diacritic
rosettaproject_mjw_swadesh-1	mjw	Karbi	205	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_mkc_swadesh-1	mkc	Siliput	79	Latin	0.19	0.045	0.133	0.006	light_ipa
rosettaproject_mkp_swadesh-1	mkp	Moikodi	31	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_mkr_swadesh-1	mkr	Malas	320	Latin	0.175	0.038	0.056	0.001	light_ipa
rosettaproject_mkz_swadesh-1	mkz	Makasae	207	Latin	0.13	0.037	0.055	0.0	light_ipa
rosettaproject_mle_swadesh-1	mle	Manambu	302	Latin	0.298	0.104	0.194	0.0	ipa_dense
rosettaproject_mlh_swadesh-1	mlh	Mape	290	Latin	0.314	0.083	0.156	0.0	ipa_dense
rosettaproject_mlp_swadesh-1	mlp	Bargam	318	Latin	0.11	0.027	0.023	0.0	light_ipa
rosettaproject_mmi_swadesh-1	mmi	Musar	398	Latin	0.354	0.105	0.144	0.0	ipa_dense
rosettaproject_mmp_swadesh-1	mmp	Siawi	190	Latin	0.4	0.117	0.177	0.0	ipa_dense
rosettaproject_mmq_swadesh-1	mmq	Musak	396	Latin	0.298	0.082	0.154	0.0	ipa_dense
rosettaproject_mna_swadesh-1	mna	Mbula	179	Latin	0.017	0.003	0.113	0.0	latin_diacritic
rosettaproject_mnw_swadesh-1	mnw	Mon	101	Latin	0.178	0.048	0.1	0.0	light_ipa
rosettaproject_mnx_swadesh-1	mnx	Manikion	345	Latin	0.02	0.004	0.006	0.0	plain_ascii
rosettaproject_mnz_swadesh-1	mnz	Moni	450	Latin	0.042	0.01	0.041	0.001	latin_diacritic
rosettaproject_mok_swadesh-1	mok	Morori	227	Latin	0.009	0.002	0.034	0.0	latin_diacritic
rosettaproject_moq_swadesh-1	moq	Mor	178	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_mor_swadesh-1	mor	Moro	302	Latin	0.583	0.191	0.589	0.014	ipa_dense
rosettaproject_mpb_swadesh-1	mpb	Mullukmulluk	221	Latin	0.303	0.086	0.128	0.0	ipa_dense
rosettaproject_mpc_swadesh-1	mpc	Mangarayi	488	Latin	0.336	0.07	0.175	0.0	ipa_dense
rosettaproject_mpe_swadesh-1	mpe	Majang	96	Latin	0.896	0.29	0.327	0.017	ipa_dense
rosettaproject_mph_swadesh-1	mph	Maung	539	Latin	0.349	0.066	0.135	0.0	ipa_dense
rosettaproject_mpj_swadesh-1	mpj	Martu Wangka	31	Latin	0.323	0.071	0.146	0.0	ipa_dense
rosettaproject_mpp_swadesh-1	mpp	Migabac	51	Latin	0.49	0.119	0.176	0.0	ipa_dense
rosettaproject_mps_swadesh-1	mps	Dadibi	169	Latin	0.095	0.026	0.065	0.0	light_ipa
rosettaproject_mpt_swadesh-1	mpt	Mian	47	Latin	0.0	0.0	0.047	0.0	latin_diacritic
rosettaproject_mpv_swadesh-1	mpv	Mungkip	47	Latin	0.255	0.066	0.101	0.0	ipa_dense
rosettaproject_mqe_swadesh-1	mqe	Matepi	364	Latin	0.28	0.086	0.097	0.0	ipa_dense
rosettaproject_mqf_swadesh-1	mqf	Momuna	133	Latin	0.045	0.014	0.055	0.0	latin_diacritic
rosettaproject_mqo_swadesh-1	mqo	Modole	444	Latin	0.216	0.046	0.071	0.003	light_ipa
rosettaproject_mqr_swadesh-1	mqr	Mander	118	Latin	0.008	0.001	0.003	0.0	plain_ascii
rosettaproject_mqs_swadesh-1	mqs	Makian, West	357	Latin	0.0	0.0	0.007	0.0	plain_ascii
rosettaproject_mqv_swadesh-1	mqv	Mosimo	339	Latin	0.245	0.075	0.092	0.003	light_ipa
rosettaproject_mqw_swadesh-1	mqw	Murupi	372	Latin	0.263	0.074	0.092	0.0	ipa_dense
rosettaproject_mqy_swadesh-1	mqy	Manggarai	182	Latin	0.231	0.053	0.152	0.029	light_ipa
rosettaproject_mra_swadesh-1	mra	Mlabri	89	Latin	0.697	0.22	0.248	0.003	ipa_dense
rosettaproject_mrf_swadesh-1	mrf	Elseng	418	Latin	0.1	0.023	0.082	0.0	light_ipa
rosettaproject_mrx_swadesh-1	mrx	Dineor	18	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_mrz_swadesh-1	mrz	Marind	804	Latin	0.241	0.053	0.09	0.0	light_ipa
rosettaproject_msf_swadesh-1	msf	Mekwei	437	Latin	0.027	0.005	0.025	0.0	latin_diacritic
rosettaproject_msg_swadesh-1	msg	Moraid	168	Latin	0.036	0.008	0.056	0.0	latin_diacritic
rosettaproject_msj_swadesh-1	msj	Ma	223	Latin	0.596	0.154	0.624	0.001	ipa_dense
rosettaproject_msl_swadesh-1	msl	Molof	143	Latin	0.014	0.003	0.016	0.006	latin_diacritic
rosettaproject_mso_swadesh-1	mso	Mombum	521	Latin	0.113	0.027	0.092	0.005	light_ipa
rosettaproject_msx_swadesh-1	msx	Moresada	499	Latin	0.309	0.089	0.178	0.0	ipa_dense
rosettaproject_msy_swadesh-1	msy	Aruamu	178	Latin	0.079	0.015	0.082	0.0	light_ipa
rosettaproject_msz_swadesh-1	msz	Momare	51	Latin	0.412	0.112	0.167	0.0	ipa_dense
rosettaproject_mtc_swadesh-1	mtc	Munit	390	Latin	0.272	0.091	0.129	0.0	ipa_dense
rosettaproject_mtf_swadesh-1	mtf	Murik	353	Latin	0.38	0.109	0.154	0.003	ipa_dense
rosettaproject_mtg_swadesh-1	mtg	Una	162	Latin	0.784	0.326	0.35	0.0	ipa_dense
rosettaproject_mtj_swadesh-1	mtj	Moskona	171	Latin	0.082	0.018	0.034	0.001	light_ipa
rosettaproject_mtv_swadesh-1	mtv	Asaro'o	49	Latin	0.531	0.217	0.244	0.0	ipa_dense
rosettaproject_mty_swadesh-1	mty	Nabi	59	Latin	0.203	0.059	0.12	0.0	light_ipa
rosettaproject_mur_swadesh-1	mur	Murle	255	Latin	0.569	0.184	0.324	0.048	ipa_dense
rosettaproject_muu_swadesh-1	muu	Yaaku	80	Latin	0.15	0.053	0.137	0.034	light_ipa
rosettaproject_muz_swadesh-1	muz	Mursi	150	Latin	0.433	0.12	0.484	0.028	ipa_dense
rosettaproject_mva_swadesh-1	mva	Manam	184	Latin	0.299	0.072	0.098	0.0	ipa_dense
rosettaproject_mvq_swadesh-1	mvq	Moere	336	Latin	0.327	0.097	0.13	0.0	ipa_dense
rosettaproject_mwb_swadesh-1	mwb	Juwal	252	Latin	0.659	0.183	0.213	0.005	ipa_dense
rosettaproject_mwd_swadesh-1	mwd	Mudbura	40	Latin	0.25	0.07	0.181	0.0	ipa_dense
rosettaproject_mwf_swadesh-1	mwf	Murrinh-Patha	163	Latin	0.202	0.049	0.14	0.0	light_ipa
rosettaproject_mwp_swadesh-1	mwp	Kala Lagaw Ya	138	Latin	0.087	0.02	0.087	0.0	light_ipa
rosettaproject_mww_swadesh-1	mww	Miao, White	101	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_mxe_swadesh-1	mxe	Mele-Fila	182	Latin	0.077	0.019	0.106	0.006	light_ipa
rosettaproject_mxf_swadesh-1	mxf	Malgbe	27	Latin	0.741	0.252	0.653	0.0	ipa_dense
rosettaproject_mxk_swadesh-1	mxk	Monumbo	377	Latin	0.204	0.037	0.092	0.0	light_ipa
rosettaproject_mxn_swadesh-1	mxn	Moi	1107	Latin	0.182	0.043	0.099	0.0	light_ipa
rosettaproject_myb_swadesh-1	myb	Mbay	26	Latin	0.692	0.316	0.415	0.0	ipa_dense
